,Name,P.CH3 (wt%),P.CH2 (wt%),P.CH (wt%),Olef (wt%),Naph (wt%),Arom (wt%),OH (wt%),O (wt%),Mol Wt,B.I,DCN
165,RO 15,9.959346458286378,1.8590780055467904,1.7262867194363054,0.0,35.998372753240275,48.854934450826086,0.0,0.0,128.91853358199054,1.3459266790995275,9.0
166,RO 7,4.832822088802488,0.9021267899097977,0.8376891620590978,0.0,39.30387364229358,53.34097137168414,0.0,0.0,130.48651651368425,1.424325825684213,8.92
167,MC 1,52.552539502480585,16.93312185277241,7.977012298788585,0.0,0.0,15.173930377845881,0.0,0.0,107.54320560232787,0.6078705791637523,21.8
168,MC 2,42.705785369315755,17.278297054985078,5.575738718273619,0.0,0.0,29.293343117480678,0.0,0.0,103.05153896100752,0.6572367614448622,21.6
169,MC 3,59.209401450567306,18.95333977746908,9.6919655184369,3.198863544200347,0.0,0.0,0.0,0.0,109.33966097836667,0.48909979569226636,21.34
170,MC 4,55.345668426763304,21.38057538441972,8.832691794509103,6.287810430145614,0.0,0.0,0.0,0.0,106.14136004484436,0.43269873227359995,21.07
171,MC 5,48.86839201007868,19.112356421050624,7.168883166611514,3.0227709422331857,0.0,15.210166844692301,0.0,0.0,104.54650478133125,0.5524301766750656,21.6
172,MC 6,45.33921101343282,21.02504882775126,6.411794092080756,6.059665646918081,0.0,15.245701257896394,0.0,0.0,101.76058748535928,0.5026210614445574,21.12
173,MC 7,39.5280792529464,17.708279495513708,4.9243029748893745,2.234856440083636,0.0,31.058971398207465,0.0,0.0,100.75752532301283,0.6354160353367326,20.94
174,MC 8,36.03347083423999,20.694418553069596,4.160423393276678,5.847497045358313,0.0,29.423799349492352,0.0,0.0,97.99910754682479,0.562658745405734,21.05
175,MC 9,57.55484105613939,14.977545540355344,8.34294859313079,0.0,0.0,11.42348149363835,0.0,0.0,113.67637720593083,0.6974373080778187,20.96
176,MC 10,52.87967164391644,12.716217196173572,6.448817935488206,0.0,0.0,22.002538207048048,0.0,0.0,114.69497791830267,0.8460916793961699,19.2
177,MC 11,55.18626579389793,15.542653827617556,8.242431123995642,0.0,0.0,13.42025129387752,0.0,0.0,110.44821129584012,0.6540045654856427,21.36
178,MC 12,48.05232475785283,14.594354362331863,6.092247553075596,0.0,0.0,25.63746020082379,0.0,0.0,108.67548386109817,0.751444315990078,20.34
179,MC 13,55.588842615919326,16.066185723231907,9.175990548328393,0.0,10.698835990986467,0.0,0.0,0.0,105.59285273788356,0.5278877227621019,19.45
